ID,Gender,Marital_Status,Age,Education,Income,Occupation,Settlement_Size
100000001,Male,Single,67,Graduate,124670,Skilled,Big City
100000002,Female,Not-Single,22,High School,150773,Skilled,Big City
100000003,Male,Single,49,High School,89210,unemployed/unskilled,Small City
100000004,Male,Single,45,High School,171565,Skilled,mid-Sized City
100000005,Male,Single,53,High School,149031,Skilled,mid-Sized City
100000006,Male,Single,35,High School,144848,unemployed/unskilled,Small City
100000007,Male,Single,53,High School,156495,Skilled,mid-Sized City
100000008,Male,Single,35,High School,193621,Management/officer/self-employed,mid-Sized City
100000009,Male,Not-Single,61,Graduate,151591,unemployed/unskilled,Small City
100000010,Male,Not-Single,28,High School,174646,Management/officer/self-employed,Small City
100000011,Female,Not-Single,25,High School,108469,Skilled,Small City
100000012,Female,Not-Single,24,High School,127596,Skilled,Small City
100000013,Female,Not-Single,22,High School,108687,Skilled,Big City
100000014,Male,Single,60,Graduate,89374,unemployed/unskilled,Small City
100000015,Female,Not-Single,28,High School,102899,Skilled,mid-Sized City
100000016,Female,Not-Single,32,High School,88428,unemployed/unskilled,Small City
100000017,Male,Single,53,High School,125550,Skilled,Small City
100000018,Male,Single,25,Unknown/Other,157434,Skilled,Big City
100000019,Female,Not-Single,44,Graduate,261952,Management/officer/self-employed,Big City
100000020,Male,Single,31,Unknown/Other,144657,Skilled,mid-Sized City
100000021,Male,Single,48,High School,118777,Skilled,mid-Sized City
100000022,Male,Single,44,High School,147511,Skilled,mid-Sized City
100000023,Male,Single,48,High School,89804,unemployed/unskilled,Small City
100000024,Male,Single,44,High School,134918,Skilled,Big City
100000025,Male,Not-Single,26,High School,103667,Skilled,Big City
100000026,Male,Single,36,High School,71909,unemployed/unskilled,Small City
100000027,Male,Not-Single,39,High School,68264,unemployed/unskilled,Small City
100000028,Female,Not-Single,42,Graduate,163025,Skilled,mid-Sized City
100000029,Male,Single,34,High School,119307,Skilled,mid-Sized City
100000030,Male,Single,63,Graduate,175882,Skilled,Small City
100000031,Male,Not-Single,36,High School,159646,Skilled,mid-Sized City
100000032,Male,Single,27,Unknown/Other,120131,Skilled,mid-Sized City
100000033,Male,Single,30,Unknown/Other,162745,Skilled,Big City
100000034,Male,Single,57,Graduate,87605,unemployed/unskilled,Small City
100000035,Female,Not-Single,33,High School,155569,Management/officer/self-employed,mid-Sized City
100000036,Male,Single,25,Unknown/Other,104505,unemployed/unskilled,Small City
100000037,Male,Single,31,Unknown/Other,143385,Skilled,Big City
100000038,Male,Single,37,High School,127676,Skilled,mid-Sized City
100000039,Male,Single,37,High School,119276,Skilled,mid-Sized City
100000040,Male,Single,24,Unknown/Other,92542,Skilled,mid-Sized City
100000041,Male,Single,30,Unknown/Other,163329,Management/officer/self-employed,mid-Sized City
100000042,Male,Not-Single,26,High School,130921,Skilled,Small City
100000043,Male,Single,44,High School,133658,unemployed/unskilled,Small City
100000044,Male,Not-Single,24,High School,155104,Skilled,mid-Sized City
100000045,Female,Not-Single,58,Graduate,142335,unemployed/unskilled,mid-Sized City
100000046,Female,Not-Single,35,High School,138387,Management/officer/self-employed,mid-Sized City
100000047,Male,Single,39,High School,140182,Skilled,Small City
100000048,Female,Not-Single,23,High School,65421,unemployed/unskilled,Small City
100000049,Male,Single,39,High School,130500,unemployed/unskilled,Small City
100000050,Female,Not-Single,28,High School,122831,Skilled,Small City
100000051,Male,Single,29,Unknown/Other,84531,unemployed/unskilled,Small City
100000052,Male,Single,30,Unknown/Other,180196,Management/officer/self-employed,Big City
100000053,Male,Single,25,Unknown/Other,92058,Skilled,Big City
100000054,Male,Single,31,Unknown/Other,117158,Skilled,Small City
100000055,Male,Single,57,Graduate,135830,Skilled,mid-Sized City
100000056,Male,Single,26,Unknown/Other,58258,unemployed/unskilled,Small City
100000057,Male,Single,52,High School,202575,Management/officer/self-employed,Big City
100000058,Female,Not-Single,31,High School,183657,Skilled,mid-Sized City
100000059,Female,Not-Single,23,High School,152267,Management/officer/self-employed,mid-Sized City
100000060,Female,Not-Single,23,High School,115240,unemployed/unskilled,Small City
100000061,Male,Not-Single,27,High School,106955,Skilled,Big City
100000062,Male,Single,50,High School,123641,Skilled,mid-Sized City
100000063,Male,Single,61,Graduate,166410,Management/officer/self-employed,mid-Sized City
100000064,Male,Single,25,Unknown/Other,227385,Skilled,Big City
